"LL"	"Param"	"AICc"	"AIC"	"Slope"	"R2"	"Null"	"File"	"Variable"	"Model"
-238.181	10	498.4181	496.3621	1.003543	0.3541149	NA	"./Results/Model Fits/GRNA_tetra_no_Quadr_model.txt"	"GRNA"	"tetra_no_Quadr"
-225.9861	10	474.0282	471.9721	1.002101	0.4148222	NA	"./Results/Model Fits/GRNA_tetra_no_Shrub_model.txt"	"GRNA"	"tetra_no_Shrub"
-265.4203	4	539.1947	538.8407	0.8018918	0.2185159	NA	"./Results/Model Fits/GRNA_univaria_Basal_model.txt"	"GRNA"	"univaria_Basal"
-355.0436	4	718.4411	718.0871	0.764989	-0.2276341	NA	"./Results/Model Fits/GRNA_univaria_Cavit_model.txt"	"GRNA"	"univaria_Cavit"
-292.8156	4	593.9851	593.6311	0.7987396	0.08214071	NA	"./Results/Model Fits/GRNA_univaria_Densi_model.txt"	"GRNA"	"univaria_Densi"
-264.4791	4	537.3122	536.9582	0.9550903	0.2232013	NA	"./Results/Model Fits/GRNA_univaria_DHeig_model.txt"	"GRNA"	"univaria_DHeig"
-322.6866	4	653.7272	653.3733	0.9485326	-0.06655933	NA	"./Results/Model Fits/GRNA_univaria_DVari_model.txt"	"GRNA"	"univaria_DVari"
-371.247	4	750.848	750.494	1.004436	-0.3082958	NA	"./Results/Model Fits/GRNA_univaria_Herba_model.txt"	"GRNA"	"univaria_Herba"
-265.0124	4	538.3788	538.0249	0.9439849	0.2205465	NA	"./Results/Model Fits/GRNA_univaria_Quadr_model.txt"	"GRNA"	"univaria_Quadr"
-369.4797	4	747.3134	746.9594	0.9621687	-0.2994982	NA	"./Results/Model Fits/GRNA_univaria_Shrub_model.txt"	"GRNA"	"univaria_Shrub"
-393.7053	4	795.7647	795.4107	1.01368	-0.4200949	NA	"./Results/Model Fits/GRNA_univaria_Snags_model.txt"	"GRNA"	"univaria_Snags"
-299.7391	4	607.8322	607.4782	1.000006	0.04767495	NA	"./Results/Model Fits/GRNA_univaria_Thick_model.txt"	"GRNA"	"univaria_Thick"
-689.4941	6	1391.745	1390.988	0.9836804	0.01603	NA	"./Results/Model Fits/OVFA_bi_Basal_Cavit_model.txt"	"OVFA"	"bi_Basal_Cavit"
-611.1239	6	1235.005	1234.248	1.000353	0.1487425	NA	"./Results/Model Fits/OVFA_bi_Basal_DHeig_model.txt"	"OVFA"	"bi_Basal_DHeig"
-778.8101	6	1570.377	1569.62	0.9397539	-0.1352185	NA	"./Results/Model Fits/OVFA_bi_Basal_Shrub_model.txt"	"OVFA"	"bi_Basal_Shrub"
-767.7134	6	1548.184	1547.427	0.9619648	-0.1164273	NA	"./Results/Model Fits/OVFA_bi_Cavit_Shrub_model.txt"	"OVFA"	"bi_Cavit_Shrub"
-673.2608	6	1359.278	1358.522	0.987369	0.04351942	NA	"./Results/Model Fits/OVFA_bi_Densi_Cavit_model.txt"	"OVFA"	"bi_Densi_Cavit"
-590.6871	6	1194.131	1193.374	1.000387	0.1833504	NA	"./Results/Model Fits/OVFA_bi_Densi_DHeig_model.txt"	"OVFA"	"bi_Densi_DHeig"
-634.4097	6	1281.576	1280.819	0.9968744	0.1093102	NA	"./Results/Model Fits/OVFA_bi_Densi_Quadr_model.txt"	"OVFA"	"bi_Densi_Quadr"
-722.2898	6	1457.336	1456.58	0.9509005	-0.03950654	NA	"./Results/Model Fits/OVFA_bi_Densi_Shrub_model.txt"	"OVFA"	"bi_Densi_Shrub"
-682.6716	6	1378.1	1377.343	0.9869561	0.02758318	NA	"./Results/Model Fits/OVFA_bi_DHeig_Cavit_model.txt"	"OVFA"	"bi_DHeig_Cavit"
-679.1012	6	1370.959	1370.202	0.9843696	0.03362927	NA	"./Results/Model Fits/OVFA_bi_DHeig_Shrub_model.txt"	"OVFA"	"bi_DHeig_Shrub"
-680.8508	6	1374.458	1373.702	0.9908669	0.03066657	NA	"./Results/Model Fits/OVFA_bi_Quadr_Cavit_model.txt"	"OVFA"	"bi_Quadr_Cavit"
-669.9943	6	1352.745	1351.989	0.991606	0.04905108	NA	"./Results/Model Fits/OVFA_bi_Quadr_DHeig_model.txt"	"OVFA"	"bi_Quadr_DHeig"
-675.8545	6	1364.466	1363.709	0.988964	0.03912729	NA	"./Results/Model Fits/OVFA_bi_Quadr_Shrub_model.txt"	"OVFA"	"bi_Quadr_Shrub"
-603.7817	8	1224.884	1223.563	0.9986965	0.161176	NA	"./Results/Model Fits/OVFA_compl_no_Cavit_model.txt"	"OVFA"	"compl_no_Cavit"
-656.6463	8	1330.614	1329.293	0.9882177	0.07165466	NA	"./Results/Model Fits/OVFA_compl_no_DHeig_model.txt"	"OVFA"	"compl_no_DHeig"
-607.6849	8	1232.691	1231.37	1.000344	0.1545663	NA	"./Results/Model Fits/OVFA_compl_no_Shrub_model.txt"	"OVFA"	"compl_no_Shrub"
-664.2357	8	1345.792	1344.471	0.9919374	0.05880269	NA	"./Results/Model Fits/OVFA_no_Cavit_Densi_model.txt"	"OVFA"	"no_Cavit_Densi"
-618.6992	8	1254.719	1253.398	0.9977563	0.1359145	NA	"./Results/Model Fits/OVFA_no_Cavit_DHeig_model.txt"	"OVFA"	"no_Cavit_DHeig"
-583.0767	8	1183.474	1182.153	1.000468	0.1962379	NA	"./Results/Model Fits/OVFA_no_Cavit_Quadr_model.txt"	"OVFA"	"no_Cavit_Quadr"
-668.442	8	1354.205	1352.884	0.9919252	0.05167964	NA	"./Results/Model Fits/OVFA_no_DHeig_Densi_model.txt"	"OVFA"	"no_DHeig_Densi"
-712.7528	8	1442.827	1441.506	0.9947651	-0.02335653	NA	"./Results/Model Fits/OVFA_no_DHeig_Quadr_model.txt"	"OVFA"	"no_DHeig_Quadr"
-674.6667	8	1366.654	1365.333	0.9866228	0.04113882	NA	"./Results/Model Fits/OVFA_no_Quadr_Densi_model.txt"	"OVFA"	"no_Quadr_Densi"
-589.1302	8	1195.581	1194.26	1.000928	0.1859869	NA	"./Results/Model Fits/OVFA_no_Shrub_Cavit_model.txt"	"OVFA"	"no_Shrub_Cavit"
-666.6635	8	1350.648	1349.327	0.993599	0.05469143	NA	"./Results/Model Fits/OVFA_no_Shrub_Densi_model.txt"	"OVFA"	"no_Shrub_Densi"
-633.4143	8	1284.15	1282.829	0.9979907	0.1109958	NA	"./Results/Model Fits/OVFA_no_Shrub_DHeig_model.txt"	"OVFA"	"no_Shrub_DHeig"
-590.1282	8	1197.578	1196.256	0.9998905	0.1842968	NA	"./Results/Model Fits/OVFA_no_Shrub_Quadr_model.txt"	"OVFA"	"no_Shrub_Quadr"
-1864.195	2	3732.494	3732.389	86.78571	-1.973217	NA	"./Results/Model Fits/OVFA_null_null_null_model.txt"	"OVFA"	"null_null_null"
-581.9173	12	1190.806	1187.835	1.001039	0.1982012	NA	"./Results/Model Fits/OVFA_penta_complete_model.txt"	"OVFA"	"penta_complete"
-601.0455	10	1224.147	1222.091	1.001548	0.1658095	NA	"./Results/Model Fits/OVFA_tetra_complete_model.txt"	"OVFA"	"tetra_complete"
-582.056	10	1186.168	1184.112	0.9977593	0.1979664	NA	"./Results/Model Fits/OVFA_tetra_no_Cavit_model.txt"	"OVFA"	"tetra_no_Cavit"
-659.5325	10	1341.121	1339.065	0.9937726	0.06676704	NA	"./Results/Model Fits/OVFA_tetra_no_Densi_model.txt"	"OVFA"	"tetra_no_Densi"
-617.4943	10	1257.045	1254.989	0.9983503	0.1379549	NA	"./Results/Model Fits/OVFA_tetra_no_DHeig_model.txt"	"OVFA"	"tetra_no_DHeig"
-582.7818	10	1187.62	1185.564	1.001801	0.1967372	NA	"./Results/Model Fits/OVFA_tetra_no_Quadr_model.txt"	"OVFA"	"tetra_no_Quadr"
-588.3447	10	1198.746	1196.689	0.998991	0.187317	NA	"./Results/Model Fits/OVFA_tetra_no_Shrub_model.txt"	"OVFA"	"tetra_no_Shrub"
-1100.686	4	2209.725	2209.371	0.8604856	-0.6802849	NA	"./Results/Model Fits/OVFA_univaria_Basal_model.txt"	"OVFA"	"univaria_Basal"
-796.3008	4	1600.956	1600.602	0.9591908	-0.1648373	NA	"./Results/Model Fits/OVFA_univaria_Cavit_model.txt"	"OVFA"	"univaria_Cavit"
-917.6026	4	1843.559	1843.205	0.9010918	-0.3702507	NA	"./Results/Model Fits/OVFA_univaria_Densi_model.txt"	"OVFA"	"univaria_Densi"
-685.9954	4	1380.345	1379.991	0.9837902	0.02195461	NA	"./Results/Model Fits/OVFA_univaria_DHeig_model.txt"	"OVFA"	"univaria_DHeig"
-726.6836	4	1461.721	1461.367	0.995486	-0.04694698	NA	"./Results/Model Fits/OVFA_univaria_DVari_model.txt"	"OVFA"	"univaria_DVari"
-1142.811	4	2293.975	2293.621	0.8409799	-0.7516194	NA	"./Results/Model Fits/OVFA_univaria_Herba_model.txt"	"OVFA"	"univaria_Herba"
-697.505	4	1403.364	1403.01	0.9821396	0.002464154	NA	"./Results/Model Fits/OVFA_univaria_Quadr_model.txt"	"OVFA"	"univaria_Quadr"
-1057.349	4	2123.052	2122.698	0.8670731	-0.6068981	NA	"./Results/Model Fits/OVFA_univaria_Shrub_model.txt"	"OVFA"	"univaria_Shrub"
-1206.334	4	2421.022	2420.668	0.8419802	-0.8591902	NA	"./Results/Model Fits/OVFA_univaria_Snags_model.txt"	"OVFA"	"univaria_Snags"
-917.7769	4	1843.908	1843.554	0.9127076	-0.3705458	NA	"./Results/Model Fits/OVFA_univaria_Thick_model.txt"	"OVFA"	"univaria_Thick"
-742.9581	6	1498.673	1497.916	0.9525908	-0.1424829	NA	"./Results/Model Fits/OVNA_bi_Basal_Cavit_model.txt"	"OVNA"	"bi_Basal_Cavit"
-619.564	6	1251.885	1251.128	0.9857554	0.07969283	NA	"./Results/Model Fits/OVNA_bi_Basal_DHeig_model.txt"	"OVNA"	"bi_Basal_DHeig"
-977.56	6	1967.877	1967.12	0.8811175	-0.5648922	NA	"./Results/Model Fits/OVNA_bi_Basal_Shrub_model.txt"	"OVNA"	"bi_Basal_Shrub"
-880.0213	6	1772.799	1772.043	0.9140035	-0.3892702	NA	"./Results/Model Fits/OVNA_bi_Cavit_Shrub_model.txt"	"OVNA"	"bi_Cavit_Shrub"
-696.4599	6	1405.677	1404.92	0.9877749	-0.05876118	NA	"./Results/Model Fits/OVNA_bi_Densi_Cavit_model.txt"	"OVNA"	"bi_Densi_Cavit"
-695.3323	6	1403.421	1402.665	0.9851461	-0.05673086	NA	"./Results/Model Fits/OVNA_bi_Densi_DHeig_model.txt"	"OVNA"	"bi_Densi_DHeig"
-691.9569	6	1396.671	1395.914	0.9876647	-0.05065327	NA	"./Results/Model Fits/OVNA_bi_Densi_Quadr_model.txt"	"OVNA"	"bi_Densi_Quadr"
-708.5035	6	1429.764	1429.007	0.9881566	-0.08044613	NA	"./Results/Model Fits/OVNA_bi_Densi_Shrub_model.txt"	"OVNA"	"bi_Densi_Shrub"
-713.9354	6	1440.628	1439.871	0.9561948	-0.09022639	NA	"./Results/Model Fits/OVNA_bi_DHeig_Cavit_model.txt"	"OVNA"	"bi_DHeig_Cavit"
-717.2701	6	1447.297	1446.54	0.9620179	-0.09623056	NA	"./Results/Model Fits/OVNA_bi_DHeig_Shrub_model.txt"	"OVNA"	"bi_DHeig_Shrub"
-686.7259	6	1386.209	1385.452	0.9683668	-0.04123474	NA	"./Results/Model Fits/OVNA_bi_Quadr_Cavit_model.txt"	"OVNA"	"bi_Quadr_Cavit"
-702.7917	6	1418.34	1417.583	0.979218	-0.0701617	NA	"./Results/Model Fits/OVNA_bi_Quadr_DHeig_model.txt"	"OVNA"	"bi_Quadr_DHeig"
-1287.796	6	2588.348	2587.591	0.7843865	-1.123483	NA	"./Results/Model Fits/OVNA_bi_Quadr_Shrub_model.txt"	"OVNA"	"bi_Quadr_Shrub"
-617.7653	8	1252.852	1251.531	0.9883001	0.08293152	NA	"./Results/Model Fits/OVNA_compl_no_Cavit_model.txt"	"OVNA"	"compl_no_Cavit"
-727.0395	8	1471.4	1470.079	0.957662	-0.1138208	NA	"./Results/Model Fits/OVNA_compl_no_DHeig_model.txt"	"OVNA"	"compl_no_DHeig"
-617.1385	8	1251.598	1250.277	0.9865568	0.08406006	NA	"./Results/Model Fits/OVNA_compl_no_Shrub_model.txt"	"OVNA"	"compl_no_Shrub"
-695.4352	8	1408.191	1406.87	0.9739107	-0.05691603	NA	"./Results/Model Fits/OVNA_no_Cavit_Densi_model.txt"	"OVNA"	"no_Cavit_Densi"
-688.722	8	1394.765	1393.444	0.9917407	-0.04482866	NA	"./Results/Model Fits/OVNA_no_Cavit_DHeig_model.txt"	"OVNA"	"no_Cavit_DHeig"
-585.1314	8	1187.584	1186.263	0.9921026	0.1416899	NA	"./Results/Model Fits/OVNA_no_Cavit_Quadr_model.txt"	"OVNA"	"no_Cavit_Quadr"
-681.2365	8	1379.794	1378.473	0.972244	-0.03135081	NA	"./Results/Model Fits/OVNA_no_DHeig_Densi_model.txt"	"OVNA"	"no_DHeig_Densi"
-693.173	8	1403.667	1402.346	0.9869342	-0.05284299	NA	"./Results/Model Fits/OVNA_no_DHeig_Quadr_model.txt"	"OVNA"	"no_DHeig_Quadr"
-694.1606	8	1405.642	1404.321	0.9654941	-0.05462106	NA	"./Results/Model Fits/OVNA_no_Quadr_Densi_model.txt"	"OVNA"	"no_Quadr_Densi"
-581.217	8	1179.755	1178.434	0.9977904	0.148738	NA	"./Results/Model Fits/OVNA_no_Shrub_Cavit_model.txt"	"OVNA"	"no_Shrub_Cavit"
-670.6273	8	1358.576	1357.255	0.9840606	-0.0122486	NA	"./Results/Model Fits/OVNA_no_Shrub_Densi_model.txt"	"OVNA"	"no_Shrub_Densi"
-668.1596	8	1353.64	1352.319	0.993653	-0.00780538	NA	"./Results/Model Fits/OVNA_no_Shrub_DHeig_model.txt"	"OVNA"	"no_Shrub_DHeig"
-579.115	8	1175.551	1174.23	0.9909592	0.1525227	NA	"./Results/Model Fits/OVNA_no_Shrub_Quadr_model.txt"	"OVNA"	"no_Shrub_Quadr"
-3806.475	2	7617.054	7616.949	58.19444	-5.658458	NA	"./Results/Model Fits/OVNA_null_null_null_model.txt"	"OVNA"	"null_null_null"
-576.8751	12	1180.722	1177.75	0.9962091	0.1565558	NA	"./Results/Model Fits/OVNA_penta_complete_model.txt"	"OVNA"	"penta_complete"
-615.5715	10	1253.199	1251.143	0.9875739	0.0868815	NA	"./Results/Model Fits/OVNA_tetra_complete_model.txt"	"OVNA"	"tetra_complete"
-685.5175	10	1393.091	1391.035	0.9955964	-0.03905883	NA	"./Results/Model Fits/OVNA_tetra_no_Cavit_model.txt"	"OVNA"	"tetra_no_Cavit"
-666.4345	10	1354.925	1352.869	0.9783103	-0.004699234	NA	"./Results/Model Fits/OVNA_tetra_no_Densi_model.txt"	"OVNA"	"tetra_no_Densi"
-667.5505	10	1357.157	1355.101	0.9927734	-0.006708576	NA	"./Results/Model Fits/OVNA_tetra_no_DHeig_model.txt"	"OVNA"	"tetra_no_DHeig"
-673.8083	10	1369.673	1367.617	0.9933703	-0.017976	NA	"./Results/Model Fits/OVNA_tetra_no_Quadr_model.txt"	"OVNA"	"tetra_no_Quadr"
-576.8379	10	1175.732	1173.676	0.9949783	0.1566227	NA	"./Results/Model Fits/OVNA_tetra_no_Shrub_model.txt"	"OVNA"	"tetra_no_Shrub"
-1668.146	4	3344.646	3344.292	0.6789511	-1.808318	NA	"./Results/Model Fits/OVNA_univaria_Basal_model.txt"	"OVNA"	"univaria_Basal"
-1709.122	4	3426.597	3426.243	0.6890998	-1.882096	NA	"./Results/Model Fits/OVNA_univaria_Cavit_model.txt"	"OVNA"	"univaria_Cavit"
-1073.895	4	2156.144	2155.79	0.794242	-0.7383469	NA	"./Results/Model Fits/OVNA_univaria_Densi_model.txt"	"OVNA"	"univaria_Densi"
-748.391	4	1505.136	1504.782	0.9512569	-0.152265	NA	"./Results/Model Fits/OVNA_univaria_DHeig_model.txt"	"OVNA"	"univaria_DHeig"
-696.6612	4	1401.676	1401.322	0.9940465	-0.05912352	NA	"./Results/Model Fits/OVNA_univaria_DVari_model.txt"	"OVNA"	"univaria_DVari"
-1492.007	4	2992.368	2992.014	0.7404889	-1.491173	NA	"./Results/Model Fits/OVNA_univaria_Herba_model.txt"	"OVNA"	"univaria_Herba"
-774.6723	4	1557.699	1557.345	0.9388543	-0.1995855	NA	"./Results/Model Fits/OVNA_univaria_Quadr_model.txt"	"OVNA"	"univaria_Quadr"
-1802.645	4	3613.644	3613.29	0.6689234	-2.050488	NA	"./Results/Model Fits/OVNA_univaria_Shrub_model.txt"	"OVNA"	"univaria_Shrub"
-1166.589	4	2341.533	2341.179	0.7836918	-0.9052467	NA	"./Results/Model Fits/OVNA_univaria_Snags_model.txt"	"OVNA"	"univaria_Snags"
-1869.517	4	3747.387	3747.033	0.6651709	-2.170893	NA	"./Results/Model Fits/OVNA_univaria_Thick_model.txt"	"OVNA"	"univaria_Thick"
-652.2195	6	1317.196	1316.439	0.975145	0.1756232	NA	"./Results/Model Fits/SPEA_bi_Basal_Cavit_model.txt"	"SPEA"	"bi_Basal_Cavit"
-514.8561	6	1042.469	1041.712	0.9998966	0.383866	NA	"./Results/Model Fits/SPEA_bi_Basal_DHeig_model.txt"	"SPEA"	"bi_Basal_DHeig"
-671.1257	6	1355.008	1354.251	0.9717801	0.1469615	NA	"./Results/Model Fits/SPEA_bi_Basal_Shrub_model.txt"	"SPEA"	"bi_Basal_Shrub"
-700.6775	6	1414.112	1413.355	0.9799144	0.102161	NA	"./Results/Model Fits/SPEA_bi_Cavit_Shrub_model.txt"	"SPEA"	"bi_Cavit_Shrub"
-709.5275	6	1431.812	1431.055	0.9990332	0.08874446	NA	"./Results/Model Fits/SPEA_bi_Densi_Cavit_model.txt"	"SPEA"	"bi_Densi_Cavit"
-504.5806	6	1021.918	1021.161	0.9998556	0.3994435	NA	"./Results/Model Fits/SPEA_bi_Densi_DHeig_model.txt"	"SPEA"	"bi_Densi_DHeig"
-578.8792	6	1170.515	1169.758	0.9984395	0.286807	NA	"./Results/Model Fits/SPEA_bi_Densi_Quadr_model.txt"	"SPEA"	"bi_Densi_Quadr"
-698.3719	6	1409.5	1408.744	0.9985289	0.1056563	NA	"./Results/Model Fits/SPEA_bi_Densi_Shrub_model.txt"	"SPEA"	"bi_Densi_Shrub"
-515.521	6	1043.799	1043.042	0.9997816	0.382858	NA	"./Results/Model Fits/SPEA_bi_DHeig_Cavit_model.txt"	"SPEA"	"bi_DHeig_Cavit"
-513.0672	6	1038.891	1038.134	0.9998032	0.3865779	NA	"./Results/Model Fits/SPEA_bi_DHeig_Shrub_model.txt"	"SPEA"	"bi_DHeig_Shrub"
-618.9738	6	1250.704	1249.948	0.9942702	0.2260237	NA	"./Results/Model Fits/SPEA_bi_Quadr_Cavit_model.txt"	"SPEA"	"bi_Quadr_Cavit"
-510.9971	6	1034.751	1033.994	0.9997155	0.3897162	NA	"./Results/Model Fits/SPEA_bi_Quadr_DHeig_model.txt"	"SPEA"	"bi_Quadr_DHeig"
-606.4949	6	1225.747	1224.99	0.9957482	0.2449416	NA	"./Results/Model Fits/SPEA_bi_Quadr_Shrub_model.txt"	"SPEA"	"bi_Quadr_Shrub"
-507.8913	8	1033.104	1031.783	1.003496	0.3944246	NA	"./Results/Model Fits/SPEA_compl_no_Cavit_model.txt"	"SPEA"	"compl_no_Cavit"
-611.1745	8	1239.67	1238.349	0.9814534	0.2378474	NA	"./Results/Model Fits/SPEA_compl_no_DHeig_model.txt"	"SPEA"	"compl_no_DHeig"
-508.959	8	1035.239	1033.918	0.9999116	0.3928059	NA	"./Results/Model Fits/SPEA_compl_no_Shrub_model.txt"	"SPEA"	"compl_no_Shrub"
-505.1128	8	1027.547	1026.226	1.000927	0.3986367	NA	"./Results/Model Fits/SPEA_no_Cavit_Densi_model.txt"	"SPEA"	"no_Cavit_Densi"
-567.2068	8	1151.735	1150.414	0.9991425	0.3045023	NA	"./Results/Model Fits/SPEA_no_Cavit_DHeig_model.txt"	"SPEA"	"no_Cavit_DHeig"
-495.0573	8	1007.436	1006.115	0.9995534	0.4138809	NA	"./Results/Model Fits/SPEA_no_Cavit_Quadr_model.txt"	"SPEA"	"no_Cavit_Quadr"
-601.8869	8	1221.095	1219.774	0.9941449	0.2519274	NA	"./Results/Model Fits/SPEA_no_DHeig_Densi_model.txt"	"SPEA"	"no_DHeig_Densi"
-677.583	8	1372.487	1371.166	0.9987387	0.1371722	NA	"./Results/Model Fits/SPEA_no_DHeig_Quadr_model.txt"	"SPEA"	"no_DHeig_Quadr"
-510.4449	8	1038.211	1036.89	1.001508	0.3905533	NA	"./Results/Model Fits/SPEA_no_Quadr_Densi_model.txt"	"SPEA"	"no_Quadr_Densi"
-496.2879	8	1009.897	1008.576	1.000284	0.4120153	NA	"./Results/Model Fits/SPEA_no_Shrub_Cavit_model.txt"	"SPEA"	"no_Shrub_Cavit"
-509.4465	8	1036.214	1034.893	0.9999531	0.3920669	NA	"./Results/Model Fits/SPEA_no_Shrub_Densi_model.txt"	"SPEA"	"no_Shrub_Densi"
-578.219	8	1173.759	1172.438	0.9986984	0.287808	NA	"./Results/Model Fits/SPEA_no_Shrub_DHeig_model.txt"	"SPEA"	"no_Shrub_DHeig"
-499.0012	8	1015.323	1014.002	0.9991934	0.4079019	NA	"./Results/Model Fits/SPEA_no_Shrub_Quadr_model.txt"	"SPEA"	"no_Shrub_Quadr"
-2139.935	2	4283.974	4283.869	82.4375	-2.079751	NA	"./Results/Model Fits/SPEA_null_null_null_model.txt"	"SPEA"	"null_null_null"
-485.4929	12	997.9573	994.9859	0.9998189	0.4283804	NA	"./Results/Model Fits/SPEA_penta_complete_model.txt"	"SPEA"	"penta_complete"
-503.7828	10	1029.622	1027.566	1.000299	0.400653	NA	"./Results/Model Fits/SPEA_tetra_complete_model.txt"	"SPEA"	"tetra_complete"
-487.9794	10	998.0149	995.9588	0.99967	0.424611	NA	"./Results/Model Fits/SPEA_tetra_no_Cavit_model.txt"	"SPEA"	"tetra_no_Cavit"
-504.457	10	1030.97	1028.914	0.9989947	0.3996309	NA	"./Results/Model Fits/SPEA_tetra_no_Densi_model.txt"	"SPEA"	"tetra_no_Densi"
-577.5097	10	1177.075	1175.019	0.9951929	0.2888832	NA	"./Results/Model Fits/SPEA_tetra_no_DHeig_model.txt"	"SPEA"	"tetra_no_DHeig"
-491.2328	10	1004.522	1002.466	1.001523	0.4196789	NA	"./Results/Model Fits/SPEA_tetra_no_Quadr_model.txt"	"SPEA"	"tetra_no_Quadr"
-492.5982	10	1007.253	1005.196	1.000666	0.4176088	NA	"./Results/Model Fits/SPEA_tetra_no_Shrub_model.txt"	"SPEA"	"tetra_no_Shrub"
-898.5927	4	1805.539	1805.185	0.8692051	-0.1978782	NA	"./Results/Model Fits/SPEA_univaria_Basal_model.txt"	"SPEA"	"univaria_Basal"
-741.227	4	1490.808	1490.454	0.9757074	0.0406881	NA	"./Results/Model Fits/SPEA_univaria_Cavit_model.txt"	"SPEA"	"univaria_Cavit"
-777.6819	4	1563.718	1563.364	0.9743114	-0.01457757	NA	"./Results/Model Fits/SPEA_univaria_Densi_model.txt"	"SPEA"	"univaria_Densi"
-519.2735	4	1046.901	1046.547	1.000116	0.3771692	NA	"./Results/Model Fits/SPEA_univaria_DHeig_model.txt"	"SPEA"	"univaria_DHeig"
-756.4402	4	1521.234	1520.88	0.999322	0.01762488	NA	"./Results/Model Fits/SPEA_univaria_DVari_model.txt"	"SPEA"	"univaria_DVari"
-1351.764	4	2711.883	2711.529	0.8101357	-0.8848856	NA	"./Results/Model Fits/SPEA_univaria_Herba_model.txt"	"SPEA"	"univaria_Herba"
-626.4968	4	1261.348	1260.994	0.9959111	0.2146189	NA	"./Results/Model Fits/SPEA_univaria_Quadr_model.txt"	"SPEA"	"univaria_Quadr"
-1064.422	4	2137.198	2136.844	0.8581887	-0.4492747	NA	"./Results/Model Fits/SPEA_univaria_Shrub_model.txt"	"SPEA"	"univaria_Shrub"
-1275.909	4	2560.171	2559.817	0.8252905	-0.7698883	NA	"./Results/Model Fits/SPEA_univaria_Snags_model.txt"	"SPEA"	"univaria_Snags"
-696.6596	4	1401.673	1401.319	0.9420384	0.1082521	NA	"./Results/Model Fits/SPEA_univaria_Thick_model.txt"	"SPEA"	"univaria_Thick"
-1207.804	6	2428.365	2427.608	0.992509	0.04874084	NA	"./Results/Model Fits/TOTA_bi_Basal_Cavit_model.txt"	"TOTA"	"bi_Basal_Cavit"
-1024.148	6	2061.052	2060.295	0.9998495	0.2076546	NA	"./Results/Model Fits/TOTA_bi_Basal_DHeig_model.txt"	"TOTA"	"bi_Basal_DHeig"
-1246.027	6	2504.812	2504.055	0.9703233	0.01566715	NA	"./Results/Model Fits/TOTA_bi_Basal_Shrub_model.txt"	"TOTA"	"bi_Basal_Shrub"
-1359.226	6	2731.209	2730.452	0.9742532	-0.0822812	NA	"./Results/Model Fits/TOTA_bi_Cavit_Shrub_model.txt"	"TOTA"	"bi_Cavit_Shrub"
-1325.599	6	2663.956	2663.199	0.995425	-0.05318476	NA	"./Results/Model Fits/TOTA_bi_Densi_Cavit_model.txt"	"TOTA"	"bi_Densi_Cavit"
-1011.013	6	2034.783	2034.026	1.000036	0.2190197	NA	"./Results/Model Fits/TOTA_bi_Densi_DHeig_model.txt"	"TOTA"	"bi_Densi_DHeig"
-1145.451	6	2303.658	2302.901	0.9988846	0.102694	NA	"./Results/Model Fits/TOTA_bi_Densi_Quadr_model.txt"	"TOTA"	"bi_Densi_Quadr"
-1306.085	6	2624.927	2624.171	0.9951272	-0.03629963	NA	"./Results/Model Fits/TOTA_bi_Densi_Shrub_model.txt"	"TOTA"	"bi_Densi_Shrub"
-1195.081	6	2402.918	2402.161	0.9959626	0.05975028	NA	"./Results/Model Fits/TOTA_bi_DHeig_Cavit_model.txt"	"TOTA"	"bi_DHeig_Cavit"
-1200.14	6	2413.037	2412.281	0.9950641	0.05537219	NA	"./Results/Model Fits/TOTA_bi_DHeig_Shrub_model.txt"	"TOTA"	"bi_DHeig_Shrub"
-1248.849	6	2510.454	2509.698	0.9938213	0.01322584	NA	"./Results/Model Fits/TOTA_bi_Quadr_Cavit_model.txt"	"TOTA"	"bi_Quadr_Cavit"
-1205.568	6	2423.892	2423.136	0.9986961	0.05067586	NA	"./Results/Model Fits/TOTA_bi_Quadr_DHeig_model.txt"	"TOTA"	"bi_Quadr_DHeig"
-1256.257	6	2525.27	2524.513	0.9911756	0.006815919	NA	"./Results/Model Fits/TOTA_bi_Quadr_Shrub_model.txt"	"TOTA"	"bi_Quadr_Shrub"
-1019.722	8	2056.765	2055.444	1.000581	0.2114842	NA	"./Results/Model Fits/TOTA_compl_no_Cavit_model.txt"	"TOTA"	"compl_no_Cavit"
-1167.438	8	2352.197	2350.876	0.9938994	0.08366885	NA	"./Results/Model Fits/TOTA_compl_no_DHeig_model.txt"	"TOTA"	"compl_no_DHeig"
-1023.253	8	2063.828	2062.507	0.9993289	0.2084285	NA	"./Results/Model Fits/TOTA_compl_no_Shrub_model.txt"	"TOTA"	"compl_no_Shrub"
-1194.299	8	2405.92	2404.599	0.9987172	0.06042626	NA	"./Results/Model Fits/TOTA_no_Cavit_Densi_model.txt"	"TOTA"	"no_Cavit_Densi"
-1125.6	8	2268.521	2267.199	0.9990947	0.1198705	NA	"./Results/Model Fits/TOTA_no_Cavit_DHeig_model.txt"	"TOTA"	"no_Cavit_DHeig"
-1007.165	8	2031.65	2030.329	0.9999732	0.2223497	NA	"./Results/Model Fits/TOTA_no_Cavit_Quadr_model.txt"	"TOTA"	"no_Cavit_Quadr"
